DAY,YEAR,JUL,REG,LOC,LOCATION ,RIVER,MALL,NOPI,AGWT,DUCKS,% ICE,% WET,County
12/1/2009,2009,335,1,5,Goose Lake,Illinois River,"11,700",0,"2,000","14,030",0,-0- ,"Bureau and Putnam, Illinois"
12/7/2009,2009,341,1,5,Goose Lake,Illinois River,"18,575",0,0,"19,050",30,-0- ,"Bureau and Putnam, Illinois"
12/15/2009,2009,349,1,5,Goose Lake,Illinois River,500,0,0,550,75,-0- ,"Bureau and Putnam, Illinois"
12/21/2009,2009,355,1,5,Goose Lake,Illinois River,400,0,0,450,80,-0- ,"Bureau and Putnam, Illinois"
12/28/2009,2009,362,1,5,Goose Lake,Illinois River,10,0,0,10,40,-0- ,"Bureau and Putnam, Illinois"
1/4/2010,2010,4,1,5,Goose Lake,Illinois River,0,0,0,0,99,-0- ,"Bureau and Putnam, Illinois"
9/8/2010,2010,251,1,5,Goose Lake,Illinois River,440,0,440,"4,510",0,-0- ,"Bureau and Putnam, Illinois"
9/14/2010,2010,257,1,5,Goose Lake,Illinois River,530,530,265,"5,300",0,-0- ,"Bureau and Putnam, Illinois"
9/20/2010,2010,263,1,5,Goose Lake,Illinois River,"2,330","2,910","1,750","11,650",0,-0- ,"Bureau and Putnam, Illinois"
10/11/2010,2010,284,1,5,Goose Lake,Illinois River,"4,000","1,500","2,500","10,500",0,-0- ,"Bureau and Putnam, Illinois"
10/18/2010,2010,291,1,5,Goose Lake,Illinois River,"2,550","1,700","2,550","8,495",0,-0- ,"Bureau and Putnam, Illinois"
10/25/2010,2010,298,1,5,Goose Lake,Illinois River,"14,140","2,110","2,110","21,100",0,-0- ,"Bureau and Putnam, Illinois"
11/2/2010,2010,306,1,5,Goose Lake,Illinois River,"3,120",480,480,"5,000",0,-0- ,"Bureau and Putnam, Illinois"
11/8/2010,2010,312,1,5,Goose Lake,Illinois River,"7,100","3,000","4,000","15,750",0,-0- ,"Bureau and Putnam, Illinois"
11/16/2010,2010,320,1,5,Goose Lake,Illinois River,"14,600","2,800","8,400","28,000",0,-0- ,"Bureau and Putnam, Illinois"
11/23/2010,2010,327,1,5,Goose Lake,Illinois River,"13,500","4,300","2,000","22,360",0,-0- ,"Bureau and Putnam, Illinois"
12/3/2010,2010,337,1,5,Goose Lake,Illinois River,"13,010",0,"1,500","16,010",90,-0- ,"Bureau and Putnam, Illinois"
12/14/2010,2010,348,1,5,Goose Lake,Illinois River,0,0,0,130,99,-0- ,"Bureau and Putnam, Illinois"
12/28/2010,2010,362,1,5,Goose Lake,Illinois River,10,0,0,25,95,-0- ,"Bureau and Putnam, Illinois"
1/3/2011,2011,3,1,5,Goose Lake,Illinois River,"2,200",0,0,"2,375",90,-0- ,"Bureau and Putnam, Illinois"
8/30/2011,2011,242,1,5,Goose Lake,Illinois River,350,50,50,"1,120",0,-0- ,"Bureau and Putnam, Illinois"
9/6/2011,2011,249,1,5,Goose Lake,Illinois River,105,0,150,755,0,-0- ,"Bureau and Putnam, Illinois"
